HCHO Reading,Location,Current Date,Next Date,HCHO Reading Z-Score
0.000254001,Colombo Proper,3/29/2019,3/30/2019,1.1229096259420333
0.000220219,Colombo Proper,3/30/2019,3/31/2019,0.7255199834530826
0.000115577,Colombo Proper,3/31/2019,4/1/2019,-0.5054209605208904
0.000123493,Colombo Proper,4/1/2019,4/2/2019,-0.412302246118471
0.000268823,Colombo Proper,4/2/2019,4/3/2019,1.2972660666788525
0.00015854271692552723,Colombo Proper,4/3/2019,4/4/2019,0.0
0.000240142,Colombo Proper,4/4/2019,4/5/2019,0.9598812956106625
0.000169401,Colombo Proper,4/5/2019,4/6/2019,0.12772983331385238
0.000103041,Colombo Proper,4/6/2019,4/7/2019,-0.6528863728186075
0.000179943,Colombo Proper,4/7/2019,4/8/2019,0.2517391166931228
0.000193814,Colombo Proper,4/8/2019,4/9/2019,0.4149086072787669
0.000200577,Colombo Proper,4/9/2019,4/10/2019,0.4944641739164073
0.000204507,Colombo Proper,4/10/2019,4/11/2019,0.5406941571909791
0.00027873,Colombo Proper,4/11/2019,4/12/2019,1.41380561993615
0.000250076,Colombo Proper,4/12/2019,4/13/2019,1.0767384594400757
0.00015854271692552723,Colombo Proper,4/14/2019,4/15/2019,0.0
0.00015854271692552723,Colombo Proper,4/15/2019,4/16/2019,0.0
0.00015854271692552723,Colombo Proper,4/16/2019,4/17/2019,0.0
0.00015854271692552723,Colombo Proper,4/17/2019,4/18/2019,0.0
0.000192782,Colombo Proper,4/18/2019,4/19/2019,0.402768825411246
0.00015854271692552723,Colombo Proper,4/19/2019,4/20/2019,0.0
0.000144213,Colombo Proper,4/20/2019,4/21/2019,-0.16856554040622612
0.000145417,Colombo Proper,4/21/2019,4/22/2019,-0.15440246156078474
0.000171121,Colombo Proper,4/22/2019,4/23/2019,0.14796280309305387
0.000293224,Colombo Proper,4/23/2019,4/24/2019,1.5843036803894939
0.000139938,Colombo Proper,4/24/2019,4/25/2019,-0.21885388099116093
9.581443666026756e-05,Colombo Proper,4/25/2019,4/26/2019,-0.7378949993652901
0.00015854271692552723,Colombo Proper,4/26/2019,4/27/2019,0.0
0.00015854271692552723,Colombo Proper,4/27/2019,4/28/2019,0.0
0.00015854271692552723,Colombo Proper,4/28/2019,4/29/2019,0.0
0.00015854271692552723,Colombo Proper,4/29/2019,4/30/2019,0.0
0.00015854271692552723,Colombo Proper,4/30/2019,5/1/2019,0.0
9.747576626042276e-05,Colombo Proper,5/1/2019,5/2/2019,-0.7183521902994566
0.00015854271692552723,Colombo Proper,5/2/2019,5/3/2019,0.0
0.00015854271692552723,Colombo Proper,5/3/2019,5/4/2019,0.0
0.000100872,Colombo Proper,5/4/2019,5/5/2019,-0.6784010887785428
0.00015854271692552723,Colombo Proper,5/5/2019,5/6/2019,0.0
