,Kandy Proper,4/10/2019,4/11/2019
,Kandy Proper,4/11/2019,4/12/2019
0.000211946,Kandy Proper,4/12/2019,4/13/2019
8.435604480337817e-05,Kandy Proper,4/13/2019,4/14/2019
,Kandy Proper,4/14/2019,4/15/2019
,Kandy Proper,4/15/2019,4/16/2019
,Kandy Proper,4/16/2019,4/17/2019
,Kandy Proper,4/17/2019,4/18/2019
0.000136739,Kandy Proper,4/18/2019,4/19/2019
0.000150207,Kandy Proper,4/19/2019,4/20/2019
-0.000214209,Kandy Proper,4/20/2019,4/21/2019
0.000133053,Kandy Proper,4/21/2019,4/22/2019
0.000265266,Kandy Proper,4/22/2019,4/23/2019
0.000189701,Kandy Proper,4/23/2019,4/24/2019
0.0001152,Kandy Proper,4/24/2019,4/25/2019
,Kandy Proper,4/25/2019,4/26/2019
,Kandy Proper,4/26/2019,4/27/2019
,Kandy Proper,4/27/2019,4/28/2019
0.000173881,Kandy Proper,4/28/2019,4/29/2019
,Kandy Proper,4/29/2019,4/30/2019
,Kandy Proper,4/30/2019,5/1/2019
,Kandy Proper,5/1/2019,5/2/2019
,Kandy Proper,5/2/2019,5/3/2019
,Kandy Proper,5/3/2019,5/4/2019
0.000214124,Kandy Proper,5/4/2019,5/5/2019
7.564946081848705e-05,Kandy Proper,5/5/2019,5/6/2019
0.000162948,Kandy Proper,5/6/2019,5/7/2019
0.000149201,Kandy Proper,5/7/2019,5/8/2019
0.000165925,Kandy Proper,5/8/2019,5/9/2019
0.000147234,Kandy Proper,5/9/2019,5/10/2019
0.000240621,Kandy Proper,5/10/2019,5/11/2019
0.000177408,Kandy Proper,5/11/2019,5/12/2019
7.851454164433835e-05,Kandy Proper,5/12/2019,5/13/2019
8.480921821304122e-05,Kandy Proper,5/13/2019,5/14/2019
0.000256593,Kandy Proper,5/14/2019,5/15/2019
0.000108439,Kandy Proper,5/15/2019,5/16/2019
0.000258151,Kandy Proper,5/16/2019,5/17/2019
0.000162673,Kandy Proper,5/17/2019,5/18/2019
0.000131618,Kandy Proper,5/18/2019,5/19/2019
0.000184642,Kandy Proper,5/19/2019,5/20/2019
0.000193141,Kandy Proper,5/20/2019,5/21/2019
0.000108728,Kandy Proper,5/21/2019,5/22/2019
,Kandy Proper,5/22/2019,5/23/2019
0.000328325,Kandy Proper,5/23/2019,5/24/2019
0.000101329,Kandy Proper,5/24/2019,5/25/2019
-1.12E-05,Kandy Proper,5/25/2019,5/26/2019
0.00010027,Kandy Proper,5/26/2019,5/27/2019
0.00019206,Kandy Proper,5/27/2019,5/28/2019
0.00017668,Kandy Proper,5/28/2019,5/29/2019
0.000270799,Kandy Proper,5/29/2019,5/30/2019
0.000267879,Kandy Proper,5/30/2019,5/31/2019
0.000148419,Kandy Proper,5/31/2019,6/1/2019
2.7427695851211674e-05,Kandy Proper,6/1/2019,6/2/2019
0.00013724,Kandy Proper,6/2/2019,6/3/2019
,Kandy Proper,6/3/2019,6/4/2019
0.000110295,Kandy Proper,6/4/2019,6/5/2019
,Kandy Proper,6/5/2019,6/6/2019
,Kandy Proper,6/6/2019,6/7/2019
,Kandy Proper,6/7/2019,6/8/2019
,Kandy Proper,6/8/2019,6/9/2019
0.000129823,Kandy Proper,6/9/2019,6/10/2019
,Kandy Proper,6/10/2019,6/11/2019
9.297567647237379e-05,Kandy Proper,6/11/2019,6/12/2019
,Kandy Proper,6/12/2019,6/13/2019
0.000122775,Kandy Proper,6/13/2019,6/14/2019
,Kandy Proper,6/14/2019,6/15/2019
0.000110979,Kandy Proper,6/15/2019,6/16/2019
8.978404673863681e-05,Kandy Proper,6/16/2019,6/17/2019
